"Date","Price","Open","High","Low","Vol.","Change %"
"07/19/2020","7,507.00","7,724.00","7,724.00","7,435.00","0.03K","-1.46%"
"07/12/2020","7,618.00","7,700.00","7,829.00","7,610.00","0.28K","-1.68%"
"07/05/2020","7,748.00","7,680.00","7,810.00","7,650.00","0.22K","1.28%"
"06/28/2020","7,650.00","7,550.00","7,650.00","7,464.00","0.55K","0.75%"
"06/21/2020","7,593.00","7,542.00","7,640.00","7,542.00","0.15K","0.33%"
"06/14/2020","7,568.00","7,440.00","7,661.00","7,425.00","0.41K","-0.83%"
"06/07/2020","7,631.00","7,500.00","7,500.00","7,450.00","0.11K","1.13%"
"05/31/2020","7,546.00","7,464.00","7,680.00","7,464.00","0.35K","0.53%"
"05/24/2020","7,506.00","7,364.00","7,902.00","7,241.00","0.17K","3.43%"
"05/17/2020","7,257.00","7,155.00","7,490.00","7,080.00","1.28K","0.92%"
"05/10/2020","7,191.00","7,592.00","7,760.00","7,000.00","1.60K","-5.52%"
"05/03/2020","7,611.00","7,598.00","7,737.00","7,585.00","3.66K","2.57%"
"04/26/2020","7,420.00","7,301.00","7,530.00","7,293.00","48.62K","2.25%"
"04/19/2020","7,257.00","7,240.00","7,329.00","6,724.00","382.31K","-0.73%"
"04/12/2020","7,310.00","7,276.00","8,700.00","7,093.00","776.89K","7.50%"
"04/05/2020","6,800.00","6,800.00","6,800.00","6,800.00","0.02K","6.85%"
"03/29/2020","6,364.00","6,021.00","6,562.00","5,480.00","0.31K","-0.64%"
"03/22/2020","6,405.00","6,568.00","6,569.00","6,130.00","0.06K","-1.00%"
"03/15/2020","6,470.00","6,774.00","6,774.00","6,397.00","0.39K","-6.23%"
"03/08/2020","6,900.00","6,900.00","6,900.00","6,900.00","","0.00%"
"03/01/2020","6,900.00","6,900.00","6,900.00","6,900.00","0.03K","2.24%"
"02/23/2020","6,749.00","6,767.00","6,767.00","6,526.00","0.01K","-0.27%"
"02/16/2020","6,767.00","6,827.00","6,827.00","6,305.00","0.02K","4.62%"
"02/09/2020","6,468.00","6,468.00","6,468.00","6,468.00","","0.00%"
"02/02/2020","6,468.00","6,468.00","6,468.00","6,468.00","0.01K","-14.44%"
"01/19/2020","7,560.00","7,560.00","7,560.00","7,560.00","","0.00%"
"01/12/2020","7,560.00","7,527.00","7,610.00","7,388.00","1.62K","0.68%"
"01/05/2020","7,509.00","7,411.00","7,550.00","7,410.00","2.02K","0.87%"
"12/29/2019","7,444.00","7,715.00","7,749.00","7,403.00","11.85K","-3.15%"
"12/22/2019","7,686.00","7,667.00","7,727.00","7,622.00","48.33K","-0.08%"
"12/15/2019","7,692.00","7,835.00","7,849.00","7,611.00","174.62K","-13.73%"
"12/08/2019","8,916.00","8,765.00","9,847.00","8,765.00","0.00K","6.91%"
"12/01/2019","8,340.00","8,340.00","8,340.00","8,340.00","0.00K","0.12%"
"11/24/2019","8,330.00","8,202.00","8,400.00","8,039.00","0.04K","1.59%"
"11/17/2019","8,200.00","8,096.00","8,200.00","8,096.00","0.02K","1.36%"
"11/10/2019","8,090.00","8,090.00","8,091.00","8,090.00","0.01K","-3.80%"
"11/03/2019","8,410.00","8,410.00","8,410.00","8,410.00","","0.00%"
"10/27/2019","8,410.00","8,146.00","8,674.00","8,146.00","0.00K","-0.86%"
"10/20/2019","8,483.00","8,483.00","8,483.00","8,483.00","","-1.39%"
"10/13/2019","8,603.00","8,603.00","8,603.00","8,603.00","","0.00%"
"10/06/2019","8,603.00","8,603.00","8,603.00","8,603.00","","0.00%"
"09/29/2019","8,603.00","8,603.00","8,603.00","8,603.00","","0.00%"
"09/22/2019","8,603.00","8,603.00","8,603.00","8,603.00","","0.00%"
